sample	truth_type	expected_truth_source	package_status	call_status	fscore
HG001	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
HG002	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	missing_package	not produced in snapshot	not_applicable
HG003	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
HG004	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
HG005	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
HG006	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
HG007	GIAB SNV truth	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	present	truth comparison requested; F-score not locally extracted without S3 package/concordance refresh	not_applicable
NA05067	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA05067	present	partial_support: Raw pre-package data has chromosome 9 dosage/SV evidence, but it does not directly call the public trisomy 9 karyotype.	not_applicable
NA10798	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA10798	present	called: Matches a heterozygous HBA-region deletion signal compatible with the expected --FIL/alpha alpha truth.	not_applicable
NA13189	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=CC&Ref=GM04856 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5507316/	present	called: Observed max allele 52 with CI including 50; directly supports the HTT CAG truth call.	not_applicable
NA14732	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA14732	present	called: Matches heterozygous loss of functional CYP21A2 copy number.	not_applicable
NA14733	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA14733&product=DNA	present	called: Matches heterozygous loss of functional CYP21A2 copy number.	not_applicable
NA15603	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA15603&product=DNA	present	outside_pipeline_scope_no_supporting_call: No produced package evidence directly supports chromosome 8 uniparental isodisomy.	not_applicable
NA15848	Coriell expected positive	https://www.coriell.org/0/sections/Search/Sample_Detail.aspx?Ref=NA15848&product=DNA	present	qualitative_support_size_discordant: ExpansionHunter calls FXN in pathogenic range, supporting the expansion class but not the public absolute repeat size.	not_applicable
NA15849	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA15849&product=DNA	present	qualitative_support_size_discordant: ExpansionHunter calls FXN in pathogenic range, supporting the expansion class but not the public absolute repeat size.	not_applicable
NA19235	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA19235 ; https://storage.mtender.gov.md/get/5cad7445-e224-4f73-b22a-9a1198e79b9f-1707303684385	present	called: Matches the expected public SMN1/SMN2 copy-number truth.	not_applicable
NA20027	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA20027	present	called_raw_qc_support: Raw sex-complement QC supports X monosomy / 45,X Turner syndrome at the chromosome-complement level.	not_applicable
NA20230	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA20230&product=DNA	present	called: Observed max allele 55 with CI including 53; directly supports the FMR1 intermediate-repeat truth call.	not_applicable
NA20775	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA20775 ; https://storage.mtender.gov.md/get/5cad7445-e224-4f73-b22a-9a1198e79b9f-1707303684385	present	called_primary_smn_discordant: SMNCopyNumberCaller matches the expected public SMN1/SMN2 truth, but Sentieon disagrees on SMN2.	not_applicable
NA23687	Coriell expected positive	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Product=DNA&Ref=NA23687	missing_package	called_supplemental_prepackage_not_delivered: Supports the expected SMA carrier SMN1/SMN2=1/2 truth in supplemental raw pre-package data, but not in the delivered package snapshot.	not_applicable
